# x, y, theta, s
-9.40987, 24.8284, 1.36613, 84.3
-9.34777, 25.1219, 1.35845, 84.6
-9.28342, 25.4149, 1.35078, 84.9
-9.21682, 25.7074, 1.34314, 85.2
-9.148, 25.9995, 1.33551, 85.5
-9.07695, 26.2909, 1.3279, 85.8
-9.00369, 26.5818, 1.32032, 86.1
-8.92823, 26.8722, 1.31277, 86.4
-8.85059, 27.162, 1.30526, 86.7
-8.77077, 27.4512, 1.29778, 87
-8.68881, 27.7398, 1.29035, 87.3
-8.6047, 28.0278, 1.28296, 87.6
-8.51848, 28.3151, 1.27561, 87.9
-8.43016, 28.6018, 1.26832, 88.2
-8.33975, 28.8879, 1.26108, 88.5
-8.24729, 29.1733, 1.2539, 88.8
-8.15278, 29.458, 1.24678, 89.1
-8.05626, 29.7421, 1.23972, 89.4
-7.95775, 30.0254, 1.23273, 89.7
-7.85727, 30.3081, 1.2258, 90
-7.75484, 30.5901, 1.21895, 90.3
-7.65049, 30.8714, 1.21216, 90.6
-7.54425, 31.1519, 1.20545, 90.9
-7.43614, 31.4318, 1.19882, 91.2
-7.32618, 31.7109, 1.19226, 91.5
-7.21441, 31.9893, 1.18579, 91.8
-7.10084, 32.267, 1.1794, 92.1
-6.98552, 32.5439, 1.17308, 92.4
-6.86846, 32.8202, 1.16686, 92.7
-6.7497, 33.0957, 1.16072, 93
-6.62926, 33.3704, 1.15466, 93.3
-6.50717, 33.6445, 1.1487, 93.6
-6.38346, 33.9178, 1.14281, 93.9
-6.25815, 34.1904, 1.13702, 94.2
-6.13128, 34.4622, 1.13132, 94.5
-6.00288, 34.7334, 1.12571, 94.8
-5.87297, 35.0038, 1.1202, 95.1
-5.74158, 35.2735, 1.11478, 95.4
-5.60874, 35.5425, 1.10939, 95.7
-5.47446, 35.8107, 1.10402, 96
-5.33873, 36.0783, 1.09865, 96.3
-5.20158, 36.3451, 1.09329, 96.6
-5.06299, 36.6112, 1.08791, 96.9
-4.92297, 36.8765, 1.08251, 97.2
-4.78152, 37.1411, 1.07709, 97.5
-4.63863, 37.4049, 1.07162, 97.8
-4.49429, 37.6679, 1.06612, 98.1
-4.34851, 37.9301, 1.06058, 98.4
-4.20126, 38.1914, 1.05498, 98.7
-4.05255, 38.452, 1.04932, 99
-3.90236, 38.7117, 1.04359, 99.3
-3.75067, 38.9705, 1.03779, 99.6
-3.59747, 39.2285, 1.0319, 99.9
-3.44275, 39.4855, 1.02592, 100.2
-3.28647, 39.7416, 1.01985, 100.5
-3.12864, 39.9967, 1.01366, 100.8
-2.96921, 40.2509, 1.00736, 101.1
-2.80816, 40.504, 1.00092, 101.4
-2.64548, 40.756, 0.994359, 101.7
-2.48112, 41.007, 0.987635, 102
-2.31506, 41.2569, 0.980751, 102.3
-2.14726, 41.5056, 0.973704, 102.6
-1.97769, 41.753, 0.966461, 102.9
-1.80631, 41.9993, 0.959011, 103.2
-1.63307, 42.2442, 0.951355, 103.5
-1.45794, 42.4878, 0.943464, 103.8
-1.28085, 42.73, 0.935309, 104.1
-1.10177, 42.9707, 0.926888, 104.4
-0.920629, 43.2098, 0.918184, 104.7
-0.737375, 43.4474, 0.909143, 105
-0.551941, 43.6832, 0.899763, 105.3
-0.364262, 43.9173, 0.890029, 105.6
-0.174264, 44.1494, 0.87987, 105.9
0.0181328, 44.3796, 0.869271, 106.2
0.21301, 44.6077, 0.858223, 106.5
0.410456, 44.8336, 0.846629, 106.8
0.610572, 45.0571, 0.834466, 107.1
0.813456, 45.2782, 0.821718, 107.4
1.01922, 45.4965, 0.808257, 107.7
1.22798, 45.712, 0.794048, 108
1.43987, 45.9244, 0.779063, 108.3
1.65501, 46.1335, 0.763126, 108.6
1.87356, 46.339, 0.746201, 108.9
2.09567, 46.5407, 0.728212, 109.2
2.32149, 46.7383, 0.708916, 109.5
2.55121, 46.9313, 0.68829, 109.8
2.78501, 47.1193, 0.66614, 110.1
3.02308, 47.3019, 0.642252, 110.4
3.2656, 47.4786, 0.616553, 110.7
3.51278, 47.6487, 0.588494, 111
3.76484, 47.8115, 0.557923, 111.3
4.02196, 47.9662, 0.524885, 111.6
4.28423, 48.1119, 0.489407, 111.9
4.55167, 48.248, 0.451578, 112.2
4.8242, 48.3736, 0.411775, 112.5
5.10163, 48.488, 0.369961, 112.8
5.38371, 48.5904, 0.325975, 113.1
5.67012, 48.6799, 0.279731, 113.4
5.96045, 48.7558, 0.231337, 113.7
6.25418, 48.8173, 0.180762, 114
6.5507, 48.8635, 0.128214, 114.3
6.84926, 48.8938, 0.0737054, 114.6
7.14905, 48.9075, 0.0176238, 114.9
7.44913, 48.9042, -0.0399497, 115.2
7.74852, 48.8835, -0.0984842, 115.5
8.04616, 48.8451, -0.157822, 115.8
8.341, 48.7892, -0.21738, 116.1
