# x, y, z, theta, kappa, s, qx, qy, qz, qw
1.57178, -12.9471, -1.01709, 1.98947, 0.0248765, 42.9599, 0.123134, 0.0430122, 0.828409, 0.544726
1.34423, -12.4249, -0.998521, 2.00389, 0.0219827, 43.5599, 0.112103, 0.0272665, 0.834584, 0.538664
1.11048, -11.9092, -0.978649, 2.01656, 0.018828, 44.1599, 0.100584, 0.0149536, 0.839783, 0.533314
0.87118, -11.399, -0.966361, 2.02739, 0.0155192, 44.7599, 0.0851078, 0.0198215, 0.84428, 0.528729
0.627046, -10.893, -0.950456, 2.03629, 0.0121514, 45.3599, 0.0790233, 0.00858694, 0.847417, 0.524944
0.378813, -10.3903, -0.934652, 2.04329, 0.00879525, 45.9599, 0.0787637, 0.00428812, 0.849312, 0.521965
0.127265, -9.88998, -0.911979, 2.04838, 0.00551616, 46.5599, 0.0803814, 0.00441413, 0.850491, 0.519793
-0.126814, -9.39113, -0.889696, 2.05161, 0.00236199, 47.1599, 0.0837749, 0.0055213, 0.851002, 0.518409
-0.382627, -8.89304, -0.865559, 2.05308, -0.000631711, 47.7599, 0.0780742, 0.0048331, 0.851929, 0.517781
-0.639386, -8.39508, -0.852661, 2.05286, -0.00343349, 48.3599, 0.0702096, 0.00639097, 0.852544, 0.517878
-0.896324, -7.89663, -0.832471, 2.05106, -0.00602867, 48.9599, 0.0679078, 0.00741792, 0.852255, 0.518648
-1.15269, -7.39723, -0.81959, 2.04778, -0.00840169, 49.5599, 0.0738054, 0.00414119, 0.850934, 0.520046
-1.40778, -6.89641, -0.795491, 2.04317, -0.0105486, 50.1599, 0.0737687, -0.00885177, 0.849694, 0.522015
-1.66092, -6.39382, -0.762982, 2.03733, -0.0124685, 50.7599, 0.078108, -0.000986501, 0.847818, 0.524502
-1.91147, -5.88916, -0.747811, 2.03039, -0.0141635, 51.3599, 0.0840536, -0.00193321, 0.845414, 0.527453
-2.15886, -5.38217, -0.714609, 2.02249, -0.0156441, 51.9599, 0.093607, -0.0271097, 0.841871, 0.530806
-2.40254, -4.87268, -0.657765, 2.01373, -0.0169168, 52.5599, 0.105181, -0.0371025, 0.837768, 0.534514
-2.64206, -4.36053, -0.605799, 2.00424, -0.0179968, 53.1599, 0.118225, -0.06147, 0.83201, 0.538519
-2.87697, -3.84563, -0.527497, 1.99411, -0.0188959, 53.7599, 0.125413, -0.0946469, 0.825049, 0.542777
-3.10689, -3.32791, -0.415332, 1.98347, -0.0196259, 54.3599, 0.137549, -0.119469, 0.816906, 0.54724
-3.3315, -2.80735, -0.298921, 1.97239, -0.0202143, 54.9599, 0.140722, -0.12616, 0.812234, 0.551867
-3.55052, -2.28395, -0.178248, 1.96096, -0.0206227, 55.5599, 0.132958, -0.118192, 0.811495, 0.556622
-3.76371, -1.75775, -0.0748943, 1.9493, -0.021063, 56.1599, 0.129112, -0.109618, 0.809986, 0.56146
-3.97088, -1.2288, 0.0372592, 1.93736, -0.0208182, 56.7599, 0.127558, -0.117305, 0.805713, 0.566388
-4.17184, -0.697149, 0.133754, 1.92556, -0.0226281, 57.3599, 0.101932, -0.107689, 0.807277, 0.571242
-4.3666, -0.162943, 0.227575, 1.91271, -0.00426345, 57.9599, 0.0840979, -0.0926591, 0.807458, 0.576502
-4.55456, 0.3739, 0.303056, 1.9103, 0.0137495, 58.5599, 0.082987, -0.0702623, 0.809127, 0.577485
-4.74133, 0.911468, 0.361613, 1.91813, 0.0265265, 59.1599, 0.091368, -0.0409718, 0.812508, 0.574285
-4.93251, 1.44816, 0.419773, 1.93325, 0.0357711, 59.7599, 0.0768281, 0.0058255, 0.819358, 0.568081
-5.13222, 1.98308, 0.39405, 1.95368, 0.0416904, 60.3599, 0.0468006, 0.0517648, 0.825789, 0.559645
-5.34359, 2.51578, 0.357322, 1.97757, 0.0449478, 60.9599, 0.0396399, 0.0213171, 0.834146, 0.549704
-5.56883, 3.04615, 0.381202, 2.00347, 0.0460716, 61.5599, 0.0309763, -0.0206761, 0.841583, 0.538842
-5.80944, 3.57433, 0.395085, 2.03019, 0.0455684, 62.1599, 0.0234764, -0.00100722, 0.849206, 0.527539
-6.06636, 4.10065, 0.395258, 2.05685, 0.0438165, 62.7599, 0.034903, 0.0102011, 0.855716, 0.516166
-6.34012, 4.62559, 0.405595, 2.08276, 0.0412632, 63.3599, 0.0441385, 0.020801, 0.861722, 0.505029
-6.63091, 5.14973, 0.405071, 2.10746, 0.037787, 63.9599, 0.0455608, 0.0466144, 0.866825, 0.494334
-6.93869, 5.67369, 0.365929, 2.13037, 0.0349815, 64.5599, 0.0195016, 0.117947, 0.866673, 0.484342
-7.26309, 6.19818, 0.283261, 2.15189, 0.021681, 65.1599, 0.0122905, 0.1453, 0.867876, 0.474899
-7.60398, 6.72384, 0.202049, 2.16543, 0.00734669, 65.7599, 0.0113923, 0.136943, 0.872479, 0.468931
-7.95675, 7.25216, 0.126462, 2.17006, -0.0052635, 66.3599, 0.0253379, 0.143066, 0.872301, 0.466885
-8.31578, 7.78459, 0.0507457, 2.16666, -0.0168144, 66.9599, 0.0238388, 0.142495, 0.871629, 0.46839
